arm	ontology	km_wall_s	external_wall_s	km_peak_mib	external_peak_mib
elk	ore_ont_11526.owl	0.0417	0.5228	10.2	140.01
elk	ore_ont_11559.owl	1.2436	1.6681	142.05	633.18
elk	ore_ont_11577.owl	0.0897	0.5553	10.41	142.68
elk	ore_ont_11619.owl	0.0744	0.7401	15.57	218.25
elk	ore_ont_11639.owl	0.0419	0.5498	5.94	135.17
elk	ore_ont_11739.owl	2.063	4.8363	18.75	2344.79
elk	ore_ont_11745.owl	11.5604	2.7688	3551.01	1239.88
elk	ore_ont_11778.owl	1.9898	2.2882	213.8	801.8
elk	ore_ont_11866.owl	0.0416	0.5182	8.12	133.88
elk	ore_ont_11889.owl	0.0717	0.5542	10.43	155.98
elk	ore_ont_11978.owl	0.0417	0.52	9.06	137.35
elk	ore_ont_12007.owl	0.041	0.5526	6.56	133.27
elk	ore_ont_12009.owl	0.0417	0.595	9.69	169.72
elk	ore_ont_12087.owl	3.7793	2.836	363.05	849.45
elk	ore_ont_1212.owl	0.2247	0.6751	47.58	242.53
elk	ore_ont_12149.owl	0.7686	1.2018	73.73	643.46
elk	ore_ont_12161.owl	0.2221	0.8648	32.69	301.28
elk	ore_ont_12194.owl	0.2834	1.017	45.64	380.6
elk	ore_ont_12281.owl	0.0712	0.7827	11.18	179.09
elk	ore_ont_12387.owl	4.358	3.2375	422.03	966.44
elk	ore_ont_12397.owl	0.0412	0.7493	10.55	185.63
elk	ore_ont_12405.owl	0.2217	0.7527	64.27	207.45
elk	ore_ont_12414.owl	4.9557	1.6176	476.87	662.12
elk	ore_ont_12528.owl	1.077	2.4289	120.92	1180.82
elk	ore_ont_12653.owl	0.1029	0.6195	48.67	136.89
elk	ore_ont_1272.owl	2.7409	1.4873	676.85	614.91
elk	ore_ont_12776.owl	0.1057	0.709	16.18	230.87
elk	ore_ont_12802.owl	0.2522	0.9418	62.5	302.24
elk	ore_ont_12831.owl	0.0412	0.6357	7.5	155.64
elk	ore_ont_12906.owl	0.0413	0.5389	5.94	132.1
elk	ore_ont_13000.owl	0.1612	0.7866	31.8	262.75
elk	ore_ont_13035.owl	0.074	0.6455	79.02	157.68
elk	ore_ont_13053.owl	0.0416	0.5355	7.19	140.15
elk	ore_ont_1306.owl	0.3019	2.763	9.62	1272.37
elk	ore_ont_13066.owl	0.0431	0.5476	8.13	132.96
elk	ore_ont_13071.owl	1.4159	1.1494	393.61	455.03
elk	ore_ont_13113.owl	0.1068	0.6584	45.37	178.86
elk	ore_ont_13132.owl	0.0737	0.5439	61.55	138.49
elk	ore_ont_13141.owl	0.1012	0.8066	18.68	227.91
elk	ore_ont_13204.owl	0.0414	0.5147	6.88	131.54
elk	ore_ont_13224.owl	5.9622	2.076	358.57	1142.52
elk	ore_ont_13234.owl	0.0413	0.5728	6.88	151.15
elk	ore_ont_13243.owl	1.5906	1.4878	135.48	615.24
elk	ore_ont_13277.owl	0.0413	0.5306	7.19	136.08
elk	ore_ont_13301.owl	0.0416	0.6073	6.88	108.54
elk	ore_ont_13355.owl	1.1769	5.077	78.28	1680.1
elk	ore_ont_13392.owl	0.0417	0.5434	8.95	136.52
elk	ore_ont_1340.owl	0.2801	0.7417	115.41	235.61
elk	ore_ont_13429.owl	0.0412	0.5411	5.94	132.84
elk	ore_ont_13444.owl	0.1641	0.6719	84.29	196.85
elk	ore_ont_13482.owl	0.504	4.8671	15.48	1572.77
elk	ore_ont_13503.owl	0.0417	0.5357	11.03	131.9
elk	ore_ont_13530.owl	0.0413	0.5545	6.88	132.31
elk	ore_ont_1357.owl	1.7334	1.6657	190.35	667.59
elk	ore_ont_13578.owl	0.0413	0.6978	10.0	185.22
elk	ore_ont_13621.owl	0.34	0.8114	134.74	247.16
elk	ore_ont_13643.owl	0.0418	0.5245	5.94	132.32
elk	ore_ont_13664.owl	0.7055	1.2313	77.72	398.42
elk	ore_ont_1370.owl	2.9877	1.8387	258.98	695.32
elk	ore_ont_13752.owl	0.2666	0.9173	40.09	289.0
elk	ore_ont_13755.owl	0.1024	0.7164	30.72	205.58
elk	ore_ont_13759.owl	0.0412	0.5722	9.46	133.55
elk	ore_ont_13762.owl	0.1657	0.5585	151.55	138.62
elk	ore_ont_13772.owl	0.0411	0.5565	8.62	136.77
elk	ore_ont_13840.owl	0.1004	0.7714	19.62	239.09
elk	ore_ont_13852.owl	0.1897	0.9923	50.24	261.78
elk	ore_ont_13887.owl	0.072	0.549	10.45	156.44
elk	ore_ont_13902.owl	0.0704	1.0585	5.0	498.25
elk	ore_ont_13964.owl	0.0405	1.0275	5.0	377.64
elk	ore_ont_13969.owl	2.7382	2.2727	211.17	937.19
elk	ore_ont_14027.owl	0.1323	0.8594	30.14	294.92
elk	ore_ont_14031.owl	0.0713	0.7288	11.18	187.5
elk	ore_ont_14042.owl	1.2516	16.3304	120.67	3014.62
elk	ore_ont_14123.owl	0.0416	0.6117	9.38	170.18
elk	ore_ont_14153.owl	0.1299	0.6772	40.27	179.28
elk	ore_ont_14194.owl	0.3218	0.8696	136.26	245.65
elk	ore_ont_1420.owl	0.0411	0.4847	7.5	134.39
elk	ore_ont_14216.owl	0.1286	1.6901	7.5	745.66
elk	ore_ont_14273.owl	0.0421	0.5488	7.96	136.93
elk	ore_ont_14280.owl	0.1869	0.8562	32.39	299.74
elk	ore_ont_14312.owl	2.65	1.4472	593.29	587.19
elk	ore_ont_14327.owl	0.0412	0.5968	6.56	134.05
elk	ore_ont_14375.owl	0.5255	0.7754	96.08	288.78
elk	ore_ont_14450.owl	0.2838	0.7887	114.21	245.23
elk	ore_ont_14459.owl	4.0276	13.6857	216.18	4069.36
elk	ore_ont_14508.owl	0.0414	1.1735	5.0	397.19
elk	ore_ont_14518.owl	0.0438	0.5458	7.5	135.51
elk	ore_ont_14543.owl	1.2763	1.3995	129.88	644.99
elk	ore_ont_14574.owl	0.1855	0.7249	30.0	222.58
elk	ore_ont_14587.owl	0.1625	0.855	27.43	320.8
elk	ore_ont_14607.owl	0.8395	1.612	11.18	679.31
elk	ore_ont_1473.owl	0.0431	0.6425	8.12	162.63
elk	ore_ont_1481.owl	2.4546	0.6835	322.0	212.39
elk	ore_ont_14826.owl	0.0414	0.5504	8.98	137.15
elk	ore_ont_14840.owl	0.0419	0.6688	9.38	173.48
elk	ore_ont_14848.owl	0.0426	0.5834	8.44	139.57
elk	ore_ont_14901.owl	0.0512	0.6118	8.75	160.79
elk	ore_ont_14926.owl	0.0387	0.5717	6.25	135.62
elk	ore_ont_1493.owl	0.1319	0.7993	21.49	305.31
elk	ore_ont_14934.owl	0.8575	1.4548	107.03	604.48
elk	ore_ont_1494.owl	0.041	0.5694	8.44	151.28
elk	ore_ont_1501.owl	0.1603	0.8519	31.49	255.02
elk	ore_ont_15059.owl	3.3784	19.2245	70.29	4826.74
elk	ore_ont_15068.owl	0.041	0.5261	5.94	133.96
elk	ore_ont_15098.owl	0.0719	0.6705	21.34	192.55
elk	ore_ont_15099.owl	0.0697	1.1608	3.75	435.32
elk	ore_ont_15145.owl	0.0419	0.5513	5.94	133.68
elk	ore_ont_15152.owl	0.1908	0.72	54.22	208.55
elk	ore_ont_15172.owl	2.3287	1.8727	290.65	678.07
elk	ore_ont_15178.owl	0.453	1.0886	87.63	318.26
elk	ore_ont_15222.owl	0.0995	0.7367	23.2	221.02
elk	ore_ont_15231.owl	0.0415	0.553	7.19	146.93
elk	ore_ont_15260.owl	0.2208	0.9087	39.65	333.09
elk	ore_ont_15280.owl	0.4741	4.3298	11.41	1563.37
elk	ore_ont_15288.owl	0.1023	0.8282	24.07	245.48
elk	ore_ont_15292.owl	0.0419	0.694	11.18	183.47
elk	ore_ont_15341.owl	0.0997	0.7642	19.71	244.47
elk	ore_ont_15388.owl	1.4578	1.5196	130.07	616.09
elk	ore_ont_15397.owl	0.0411	0.5827	7.81	165.58
elk	ore_ont_15399.owl	0.0385	0.5118	7.19	122.07
elk	ore_ont_15461.owl	0.0422	0.5248	10.0	131.04
elk	ore_ont_15516.owl	0.1598	0.6142	25.06	102.9
elk	ore_ont_15536.owl	0.7142	0.7974	136.38	328.43
elk	ore_ont_1555.owl	0.162	0.8502	111.72	237.27
elk	ore_ont_15576.owl	0.0418	0.525	6.25	132.78
elk	ore_ont_1559.owl	2.7676	18.8857	96.45	3884.16
elk	ore_ont_15615.owl	0.5169	0.7995	283.39	254.2
elk	ore_ont_15696.owl	2.2182	2.1207	180.65	820.32
elk	ore_ont_15703.owl	2.8293	7.3035	53.8	2394.62
elk	ore_ont_15725.owl	1.6371	1.0464	252.35	549.38
elk	ore_ont_1579.owl	7.7444	2.7573	821.56	1407.47
elk	ore_ont_15790.owl	0.3808	1.1219	53.62	406.27
elk	ore_ont_15791.owl	0.435	0.7011	78.75	261.75
elk	ore_ont_15793.owl	0.2856	0.9646	72.84	289.12
elk	ore_ont_15803.owl	1.5136	12.6967	109.79	2650.97
elk	ore_ont_15846.owl	11.5607	2.9604	1058.43	1403.38
elk	ore_ont_15860.owl	0.074	0.7292	10.28	189.0
elk	ore_ont_15882.owl	0.0419	0.5972	6.25	132.84
elk	ore_ont_15917.owl	0.0999	0.7687	19.8	236.6
elk	ore_ont_15929.owl	2.982	1.6922	263.31	812.33
elk	ore_ont_15932.owl	0.133	0.8185	34.3	207.07
elk	ore_ont_15944.owl	0.1009	0.7347	18.68	238.84
elk	ore_ont_15950.owl	0.0413	0.6932	10.0	166.98
elk	ore_ont_15968.owl	0.0718	0.7717	17.13	177.18
elk	ore_ont_15976.owl	4.6411	2.8331	363.59	917.77
elk	ore_ont_15985.owl	0.0411	0.577	9.38	162.14
elk	ore_ont_16008.owl	3.5768	8.1735	191.96	3181.9
elk	ore_ont_1603.owl	4.8142	0.6174	481.91	175.77
elk	ore_ont_16076.owl	0.043	0.5462	7.19	137.18
elk	ore_ont_16114.owl	0.1626	0.9199	32.01	319.59
elk	ore_ont_16167.owl	0.0416	0.5141	8.75	133.79
elk	ore_ont_1618.owl	0.0414	0.5209	14.81	136.19
elk	ore_ont_16299.owl	0.2205	0.8733	34.22	266.95
elk	ore_ont_16303.owl	4.1201	0.8442	2098.83	291.94
elk	ore_ont_16312.owl	0.0413	0.6446	8.44	159.98
elk	ore_ont_16351.owl	0.0419	0.5167	7.19	136.74
elk	ore_ont_16444.owl	9.1775	2.134	1911.52	922.99
elk	ore_ont_16462.owl	10.5861	3.7743	2112.84	1430.4
elk	ore_ont_16501.owl	0.0418	0.595	8.75	155.91
elk	ore_ont_16558.owl	0.1376	0.7886	18.37	255.73
elk	ore_ont_16559.owl	0.0422	0.9375	4.38	329.24
elk	ore_ont_16596.owl	4.2812	2.8055	362.37	877.77
elk	ore_ont_16619.owl	0.3964	0.9847	49.25	401.0
elk	ore_ont_16626.owl	0.0413	0.5842	7.19	139.48
elk	ore_ont_1666.owl	0.1279	0.7462	28.34	242.73
elk	ore_ont_16684.owl	0.0704	1.4871	4.69	496.48
elk	ore_ont_16687.owl	0.4329	1.1045	68.76	383.38
elk	ore_ont_16730.owl	0.0431	0.5453	6.56	142.94
elk	ore_ont_16744.owl	10.4773	34.9231	69.98	9231.7
elk	ore_ont_16777.owl	0.0424	0.5519	8.75	136.62
elk	ore_ont_16821.owl	0.0442	0.5785	7.5	152.76
elk	ore_ont_178.owl	0.1064	0.5175	34.16	137.0
elk	ore_ont_1793.owl	0.071	0.5633	8.75	143.1
elk	ore_ont_1902.owl	0.0412	0.5078	8.75	135.84
elk	ore_ont_1967.owl	0.0412	0.4916	7.19	130.63
elk	ore_ont_1970.owl	0.1598	0.8642	26.8	263.83
elk	ore_ont_2011.owl	0.0409	0.5768	9.06	162.73
elk	ore_ont_2036.owl	0.0435	0.4975	6.88	136.23
elk	ore_ont_2046.owl	0.1321	1.4367	6.38	644.44
elk	ore_ont_2066.owl	0.0435	0.513	6.88	135.34
elk	ore_ont_2105.owl	0.0415	0.7964	5.0	302.97
elk	ore_ont_2128.owl	0.2842	0.907	36.8	305.52
elk	ore_ont_2129.owl	0.4144	0.7661	85.05	249.93
elk	ore_ont_2195.owl	0.1122	0.5243	34.1	145.27
elk	ore_ont_2228.owl	0.0408	0.5185	8.75	134.54
elk	ore_ont_2237.owl	0.0415	0.5243	8.52	135.09
elk	ore_ont_2243.owl	0.2714	1.8511	14.79	721.73
elk	ore_ont_2253.owl	0.1564	1.6632	7.43	704.43
elk	ore_ont_2266.owl	0.0407	0.5917	9.38	164.65
elk	ore_ont_2317.owl	0.3112	1.0241	52.18	311.19
elk	ore_ont_2333.owl	0.1339	0.6813	49.09	207.99
elk	ore_ont_2361.owl	5.0317	1.581	449.63	689.71
elk	ore_ont_2377.owl	0.0989	0.6777	17.12	203.81
elk	ore_ont_2378.owl	0.0433	0.5942	8.44	173.09
elk	ore_ont_2397.owl	2.0631	1.3601	510.52	601.5
elk	ore_ont_2440.owl	0.0707	0.6504	11.18	193.64
elk	ore_ont_2453.owl	0.3129	0.5864	69.05	170.36
elk	ore_ont_2469.owl	2.8675	2.4124	234.33	796.99
elk	ore_ont_2485.owl	0.0406	0.4913	7.19	132.92
elk	ore_ont_2491.owl	0.0432	1.0689	3.44	338.56
elk	ore_ont_2496.owl	0.0428	0.7043	11.14	185.41
elk	ore_ont_2497.owl	0.2081	0.9419	31.8	311.16
elk	ore_ont_2557.owl	0.0412	0.4834	8.31	136.67
elk	ore_ont_2569.owl	0.0707	0.7027	12.43	200.66
elk	ore_ont_258.owl	0.0405	0.5182	5.94	134.74
elk	ore_ont_2591.owl	0.279	0.8689	73.74	303.03
elk	ore_ont_2627.owl	1.2563	1.189	299.65	418.64
elk	ore_ont_2632.owl	1.7728	1.5444	461.56	578.01
elk	ore_ont_2654.owl	0.0411	0.5283	8.49	136.64
elk	ore_ont_2661.owl	0.3437	1.1902	56.18	401.75
elk	ore_ont_2662.owl	0.0404	0.5426	7.5	137.5
elk	ore_ont_2669.owl	0.1597	0.5527	25.62	148.0
elk	ore_ont_2672.owl	0.0409	0.61	8.44	156.25
elk	ore_ont_2678.owl	0.0731	0.5382	63.44	138.17
elk	ore_ont_269.owl	0.0693	1.1909	4.69	443.2
elk	ore_ont_2713.owl	0.0404	0.5676	8.12	136.88
elk	ore_ont_2720.owl	0.0417	0.5816	8.44	153.4
elk	ore_ont_2744.owl	0.1288	0.6157	71.79	148.82
elk	ore_ont_2753.owl	0.0409	0.5327	7.5	138.53
elk	ore_ont_2803.owl	3.1908	1.8544	190.28	744.99
elk	ore_ont_2828.owl	6.9702	2.7197	375.12	818.41
elk	ore_ont_2860.owl	0.2272	0.5517	139.38	149.2
elk	ore_ont_2876.owl	0.0412	0.5259	6.88	133.54
elk	ore_ont_3082.owl	0.0414	0.5307	5.62	133.41
elk	ore_ont_3106.owl	0.1296	0.9015	23.87	275.02
elk	ore_ont_3164.owl	2.6125	1.2763	442.96	636.16
elk	ore_ont_3177.owl	0.1601	0.9044	27.31	268.88
elk	ore_ont_3231.owl	0.0713	0.5693	35.0	156.0
elk	ore_ont_3259.owl	0.0704	0.5531	9.04	144.5
elk	ore_ont_3260.owl	0.0449	0.5247	12.17	137.03
elk	ore_ont_33.owl	0.2492	0.9021	34.61	307.16
elk	ore_ont_3313.owl	0.0408	0.619	9.93	169.66
elk	ore_ont_3349.owl	0.0411	0.5865	9.06	165.33
elk	ore_ont_3377.owl	1.9119	10.3183	110.39	2757.91
elk	ore_ont_338.owl	0.0414	0.4876	8.75	138.49
elk	ore_ont_3406.owl	0.3752	0.8518	56.07	329.89
elk	ore_ont_3414.owl	4.5773	1.446	981.27	605.98
elk	ore_ont_3418.owl	0.0415	0.5523	9.06	143.78
elk	ore_ont_3463.owl	0.0408	0.5159	5.94	135.09
elk	ore_ont_3480.owl	0.1917	0.9295	37.43	329.85
elk	ore_ont_3524.owl	2.0479	9.7317	53.43	2684.45
elk	ore_ont_3560.owl	1.3963	5.5473	74.36	1517.31
elk	ore_ont_3635.owl	0.0409	0.6638	9.38	173.8
elk	ore_ont_3640.owl	0.0715	0.6406	15.35	177.47
elk	ore_ont_3658.owl	3.2489	1.5337	546.83	688.23
elk	ore_ont_3712.owl	0.131	0.8126	26.81	306.84
elk	ore_ont_3770.owl	0.0413	0.5356	8.75	139.0
elk	ore_ont_3784.owl	0.2229	0.7491	64.61	218.12
elk	ore_ont_3797.owl	0.1319	0.8331	29.3	278.19
elk	ore_ont_380.owl	0.041	0.579	9.62	164.28
elk	ore_ont_3836.owl	1.9597	7.0646	41.48	2303.37
elk	ore_ont_3842.owl	0.0423	0.5264	8.07	134.41
elk	ore_ont_3905.owl	0.251	0.7385	110.39	245.07
elk	ore_ont_3909.owl	0.0405	0.4847	6.88	132.67
elk	ore_ont_3931.owl	0.0716	0.6561	24.27	185.86
elk	ore_ont_394.owl	0.0702	0.5524	28.91	146.26
elk	ore_ont_3954.owl	0.7712	1.1337	129.61	542.26
elk	ore_ont_3978.owl	0.071	0.6089	12.19	165.88
elk	ore_ont_4033.owl	0.0694	1.1694	5.0	596.14
elk	ore_ont_4054.owl	2.6124	1.7715	207.88	712.92
elk	ore_ont_412.owl	0.0736	0.7806	16.03	242.86
elk	ore_ont_4187.owl	3.8283	1.6016	645.5	709.34
elk	ore_ont_4205.owl	1.5269	4.5914	43.86	1477.73
elk	ore_ont_4226.owl	0.1603	0.7752	31.8	251.67
elk	ore_ont_4235.owl	0.2844	1.1031	48.1	337.55
elk	ore_ont_4382.owl	0.0412	0.5458	8.44	143.62
elk	ore_ont_4383.owl	0.1004	0.7071	16.8	191.0
elk	ore_ont_4400.owl	0.0412	0.5474	7.5	151.91
elk	ore_ont_443.owl	0.0703	0.7336	22.12	246.23
elk	ore_ont_4460.owl	0.1615	0.9195	27.19	300.68
elk	ore_ont_4487.owl	0.8538	1.4689	105.43	606.52
elk	ore_ont_4527.owl	0.041	0.7379	10.87	189.82
elk	ore_ont_4557.owl	0.1278	1.6417	7.19	656.0
elk	ore_ont_457.owl	0.0701	0.611	13.75	159.53
elk	ore_ont_4572.owl	4.0555	2.146	293.52	689.76
elk	ore_ont_4578.owl	0.1317	0.913	24.3	271.27
elk	ore_ont_4617.owl	1.2258	1.543	151.62	659.93
elk	ore_ont_4655.owl	0.1025	0.7084	31.2	216.65
elk	ore_ont_4662.owl	0.1616	0.8276	34.88	289.81
elk	ore_ont_4671.owl	0.0407	0.5369	9.32	149.58
elk	ore_ont_4724.owl	0.0415	0.498	7.94	133.42
elk	ore_ont_4732.owl	0.1325	0.8353	26.8	310.16
elk	ore_ont_4755.owl	7.6668	1.9618	743.73	705.18
elk	ore_ont_4767.owl	0.0434	0.556	7.81	136.46
elk	ore_ont_4782.owl	1.0091	1.4528	121.68	622.95
elk	ore_ont_4798.owl	0.1005	0.7141	23.65	224.75
elk	ore_ont_4802.owl	3.0793	1.8379	232.6	897.93
elk	ore_ont_4856.owl	0.0414	0.5818	7.5	130.83
elk	ore_ont_4897.owl	0.071	0.5909	9.63	138.07
elk	ore_ont_5002.owl	0.1667	0.8528	31.36	254.27
elk	ore_ont_5057.owl	0.0405	0.6117	9.69	164.64
elk	ore_ont_508.owl	0.0409	0.5196	7.5	135.04
elk	ore_ont_5080.owl	0.07	0.7399	11.18	197.07
elk	ore_ont_5089.owl	0.0417	0.5817	7.81	139.88
elk	ore_ont_5090.owl	0.0414	0.5313	6.88	132.21
elk	ore_ont_5103.owl	1.1449	0.8637	142.03	357.37
elk	ore_ont_5164.owl	0.0417	0.5285	9.35	140.84
elk	ore_ont_5184.owl	0.0729	0.5495	43.58	144.13
elk	ore_ont_5197.owl	0.0707	0.721	14.93	228.51
elk	ore_ont_5220.owl	0.0408	0.5765	7.43	150.24
elk	ore_ont_5255.owl	0.0411	0.5331	6.88	133.23
elk	ore_ont_5266.owl	0.0416	0.6444	10.31	171.05
elk	ore_ont_5292.owl	0.0415	0.4989	9.67	134.12
elk	ore_ont_5404.owl	0.041	0.5434	18.44	138.79
elk	ore_ont_544.owl	0.0998	0.6399	17.5	188.84
elk	ore_ont_5462.owl	0.2219	0.7632	64.12	221.72
elk	ore_ont_5485.owl	0.041	0.6278	10.56	183.29
elk	ore_ont_5487.owl	0.2932	0.9281	44.22	313.1
elk	ore_ont_5519.owl	1.3966	3.1648	68.37	1360.4
elk	ore_ont_5549.owl	4.9824	1.6401	450.06	672.14
elk	ore_ont_5566.owl	3.0153	2.7152	305.99	805.68
elk	ore_ont_5572.owl	0.0417	0.5412	8.75	136.99
elk	ore_ont_5602.owl	0.1291	1.6108	7.46	757.33
elk	ore_ont_5612.owl	2.9986	1.8041	268.26	891.66
elk	ore_ont_566.owl	0.0419	0.6319	8.99	165.37
elk	ore_ont_5665.owl	0.0413	0.5133	8.44	142.0
elk	ore_ont_5742.owl	0.0412	0.5212	5.62	135.04
elk	ore_ont_5755.owl	0.9884	1.1423	129.77	554.07
elk	ore_ont_5760.owl	0.1576	1.6899	7.43	723.85
elk	ore_ont_5781.owl	2.7777	2.2292	337.01	695.04
elk	ore_ont_5792.owl	0.1627	0.7432	27.3	252.81
elk	ore_ont_5815.owl	0.042	1.0642	5.0	340.19
elk	ore_ont_5852.owl	0.0411	0.4878	5.62	137.73
elk	ore_ont_5927.owl	2.4509	2.1075	201.2	895.41
elk	ore_ont_5940.owl	0.1016	0.617	12.57	164.65
elk	ore_ont_5965.owl	0.2814	0.8736	73.28	299.16
elk	ore_ont_5966.owl	0.0409	0.5589	7.19	133.62
elk	ore_ont_5974.owl	0.2792	0.9429	73.12	291.32
elk	ore_ont_6024.owl	0.0418	0.5305	9.06	132.62
elk	ore_ont_6076.owl	0.4312	0.8862	49.1	395.1
elk	ore_ont_6102.owl	0.2156	0.752	48.88	290.36
elk	ore_ont_6198.owl	0.3949	0.9422	40.24	322.57
elk	ore_ont_6207.owl	0.0417	0.5379	7.81	131.67
elk	ore_ont_6212.owl	2.5614	8.2739	84.24	2655.75
elk	ore_ont_6223.owl	0.7275	1.9431	68.38	688.76
elk	ore_ont_6226.owl	0.0726	0.5886	25.1	175.8
elk	ore_ont_6230.owl	0.1702	0.7999	30.94	268.85
elk	ore_ont_6233.owl	0.2909	2.7973	8.75	1260.23
elk	ore_ont_6310.owl	0.5127	1.0737	69.09	421.44
elk	ore_ont_6358.owl	0.1621	0.92	27.74	313.29
elk	ore_ont_637.owl	0.0412	0.5434	8.75	149.21
elk	ore_ont_6417.owl	0.042	0.5631	9.06	136.79
elk	ore_ont_6423.owl	0.2839	0.7549	76.39	233.92
elk	ore_ont_6433.owl	0.2231	0.8877	38.88	343.43
elk	ore_ont_6453.owl	0.283	0.8862	73.03	306.87
elk	ore_ont_6477.owl	0.3316	3.2135	27.2	1163.33
elk	ore_ont_6566.owl	0.0708	0.6147	13.37	181.86
elk	ore_ont_6589.owl	0.0438	0.5088	7.45	141.71
elk	ore_ont_6659.owl	0.7909	1.2121	75.25	564.18
elk	ore_ont_6682.owl	24.7556	4.1119	5077.37	1368.69
elk	ore_ont_6696.owl	0.0409	0.6092	9.38	151.47
elk	ore_ont_670.owl	0.0705	0.659	12.12	176.75
elk	ore_ont_6720.owl	0.0432	0.5506	9.06	150.49
elk	ore_ont_6722.owl	3.2367	1.8636	378.7	731.47
elk	ore_ont_6735.owl	0.0412	0.5173	6.25	133.93
elk	ore_ont_6751.owl	0.2195	0.909	30.82	307.04
elk	ore_ont_6796.owl	0.0546	0.544	7.5	136.72
elk	ore_ont_6812.owl	0.0412	0.5377	5.94	132.7
elk	ore_ont_6817.owl	0.0416	0.6537	10.25	166.54
