arm	ontology	km_wall_s	external_wall_s	km_peak_mib	external_peak_mib
elk	ore_ont_10016.owl	0.8033	2.9082	30.54	942.98
elk	ore_ont_10032.owl	5.1701	2.046	1180.57	776.43
elk	ore_ont_10056.owl	0.0409	0.5031	7.5	113.99
elk	ore_ont_10073.owl	12.2219	2.2692	1147.01	721.33
elk	ore_ont_1012.owl	0.4154	3.3624	10.16	1329.24
elk	ore_ont_10123.owl	0.4062	0.956	90.88	256.04
elk	ore_ont_10127.owl	1.1901	0.9048	206.96	428.23
elk	ore_ont_10134.owl	0.041	0.6454	9.38	163.88
elk	ore_ont_10146.owl	0.1588	0.7079	39.95	181.55
elk	ore_ont_10160.owl	0.041	0.6833	10.55	180.0
elk	ore_ont_1017.owl	0.0411	0.5823	9.06	164.49
elk	ore_ont_10175.owl	2.8728	1.7772	180.26	734.5
elk	ore_ont_10212.owl	0.0715	0.6087	18.12	198.86
elk	ore_ont_10242.owl	0.3236	0.8762	132.56	245.52
elk	ore_ont_10248.owl	2.9692	2.0251	268.24	886.95
elk	ore_ont_10280.owl	0.1385	0.9068	23.05	273.61
elk	ore_ont_10283.owl	0.0417	0.6029	8.44	160.59
elk	ore_ont_10309.owl	0.0414	0.5236	6.88	130.72
elk	ore_ont_10314.owl	0.0416	0.5564	8.34	139.35
elk	ore_ont_10321.owl	0.0415	0.5325	9.58	134.77
elk	ore_ont_1034.owl	0.041	0.5183	8.54	132.89
elk	ore_ont_10362.owl	0.0719	0.5599	17.81	136.99
elk	ore_ont_10389.owl	0.1907	0.9022	30.84	294.25
elk	ore_ont_10413.owl	0.0413	0.5459	8.57	134.14
elk	ore_ont_10445.owl	1.4402	2.2696	14.09	836.29
elk	ore_ont_105.owl	0.0411	0.5188	6.25	134.44
elk	ore_ont_10516.owl	0.0409	0.567	8.12	137.19
elk	ore_ont_10536.owl	0.0408	0.5125	7.19	132.66
elk	ore_ont_10689.owl	4.894	12.34	267.25	5170.0
elk	ore_ont_10697.owl	2.2235	1.1197	326.4	595.62
elk	ore_ont_10742.owl	0.0709	0.7103	14.3	211.59
elk	ore_ont_10749.owl	0.4715	0.8306	258.48	207.19
elk	ore_ont_10750.owl	0.3915	3.552	10.16	1361.5
elk	ore_ont_10769.owl	0.0409	0.5242	8.44	92.33
elk	ore_ont_10778.owl	1.774	1.5303	132.09	583.17
elk	ore_ont_10781.owl	0.6828	0.7195	551.84	182.22
elk	ore_ont_10806.owl	0.1352	0.9535	29.62	300.32
elk	ore_ont_1082.owl	1.0778	1.2894	95.05	607.37
elk	ore_ont_10833.owl	0.0415	0.5375	8.75	134.84
elk	ore_ont_10890.owl	0.1608	0.9835	26.5	335.38
elk	ore_ont_10908.owl	0.169	0.6887	68.89	170.95
elk	ore_ont_10951.owl	0.138	0.694	29.43	220.61
elk	ore_ont_10968.owl	0.0708	0.7247	15.96	217.23
elk	ore_ont_11009.owl	0.0712	0.6026	14.38	160.63
elk	ore_ont_11010.owl	0.0415	0.556	7.81	135.05
elk	ore_ont_11014.owl	0.0413	0.5924	9.06	164.75
elk	ore_ont_11016.owl	0.3219	0.5926	188.89	145.22
elk	ore_ont_11081.owl	0.7644	1.0685	58.56	478.8
elk	ore_ont_11140.owl	0.0719	0.7406	18.99	220.69
elk	ore_ont_11207.owl	1.1729	0.9394	205.31	413.4
elk	ore_ont_11291.owl	0.0723	0.5478	14.06	136.87
elk	ore_ont_11293.owl	2.9208	2.0295	263.61	809.89
elk	ore_ont_11311.owl	1.8608	1.1922	300.06	562.47
elk	ore_ont_11315.owl	12.8925	2.7182	907.39	1034.69
elk	ore_ont_11316.owl	0.2502	0.7139	64.96	190.86
elk	ore_ont_11389.owl	0.3021	1.776	14.5	704.62
elk	ore_ont_11395.owl	1.3211	12.6076	122.68	3029.0
elk	ore_ont_11452.owl	0.2225	0.8382	32.79	235.77
elk	ore_ont_11497.owl	0.041	0.5478	8.75	138.39
elk	ore_ont_11502.owl	0.3121	1.0315	46.81	297.64
elk	ore_ont_11504.owl	0.041	0.5067	6.56	135.23
elk	ore_ont_11519.owl	2.5817	2.098	211.23	845.7
elk	ore_ont_11522.owl	0.0424	0.5248	9.06	140.84
elk	ore_ont_11523.owl	0.0418	0.5535	8.12	137.21
