platform	session_id	source_sha256	first_timestamp_utc	last_timestamp_utc	model_calls	tool_calls	input_tokens	cached_input_tokens	cache_creation_input_tokens	output_tokens	reasoning_output_tokens	failed_calls
Claude Code	0dc81936-17f8-43f7-8d8f-366b1a2684e0	98126307c4e2e61f6a2caf4e2e4c28937a184031567766ff52c2ba3e3e97d799	2026-07-16T22:42:25.084000+00:00	2026-07-16T22:42:38.151000+00:00	2	3	4	56156	14353	803	not_recorded	0
Claude Code	196400f7-d210-44f3-a750-2b29570c2279	4f89043d78b547f8c8b7e75de5fce7542e80ccd94356964caced5708d8e83bd2	2026-07-17T03:27:11.674000+00:00	2026-07-17T03:27:12.641000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	240b4182-4ea8-4276-a03d-4c1fd4a6af1d	32ea49d6e717bda04ab2d5266d83d5d948cfd5c09d5d8086ef364218bb8ab95d	2026-08-13T19:39:28.340000+00:00	2026-08-13T19:39:28.554000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	2c5ea75f-0149-4727-8999-934dfaff776f	5e4edcfc07a27cfe7d01592cdf1a6a5dca1b5422a6848fa411400b9ebec84812	2026-08-01T10:26:15.606000+00:00	2026-08-01T10:26:15.607000+00:00	0	0	0	0	0	0	not_recorded	0
Claude Code	3035dc14-6f24-4512-9973-778fac823f66	8582cd85c3ddd8ff4772ebf0795c024ab2c0bd568accd9b2dad02e5f269b8ea3	2026-08-01T09:35:21.662000+00:00	2026-08-01T09:35:39.714000+00:00	3	6	6	97469	28195	1217	not_recorded	0
Claude Code	38782f30-b7fd-48a9-aa29-382c458b4583	8f643dc7e617c1a3ed9bd69ba853f6bd346b8c961b155955248e08280c3e9862	2026-07-17T03:23:16.147000+00:00	2026-07-17T03:23:17.003000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	3cfc2232-1bce-4d3c-a42e-730b4f8e022f	7735e87c189062eb5c998854b6ea2813f56838faafe5a365894a57c0dbecd6aa	2026-08-14T07:36:21.588000+00:00	2026-08-14T07:36:21.800000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	3f195737-5fe9-4e75-96cd-f519b16df772	68c61035c8486b79b045ec4527da397d112745f6b334483ed92a08d1fd122ad3	2026-08-13T12:23:20.687000+00:00	2026-08-13T12:23:20.863000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	407cca86-0086-43cd-9f41-432cbd7026bb	d5d42bbb103616cd291b97f34909c227c7397c5f5898c445bbcd59731c4868ae	2026-08-13T12:23:20.547000+00:00	2026-08-13T12:23:20.727000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	49d14801-ea80-4798-a300-a04ee6ab59d0	5c10471d6790af7c046e437aa7503f2f03667dcee04332fae12e95b39f4897ee	2026-07-16T22:42:23.957000+00:00	2026-07-16T22:42:31.847000+00:00	1	2	2	21623	12909	386	not_recorded	0
Claude Code	53702409-bd17-4009-b56f-28d255404a5c	5cf5230ffa14c7145b22cd5344f116e17becaf9a6d566293e49c6a80c1f267d3	2026-08-14T15:13:05.111000+00:00	2026-08-14T15:13:05.287000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	607f3376-1391-4042-8db4-0faf379e76b9	8e2515618f6d55667ea6241b83feec4feece532caffcbceefae796d87debb0f2	2026-07-16T22:42:22.878000+00:00	2026-07-16T22:42:30.303000+00:00	1	2	2	21623	12852	388	not_recorded	0
Claude Code	6822ff2c-71b8-4ddd-aab7-6161549b5e22	4e6e6b8cde3ce67afe2d4dc773398947e81cede7b0154c2f926ccf9c45986167	2026-08-13T19:39:27.080000+00:00	2026-08-13T19:39:27.324000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	6e7ab37f-5ef3-4031-9b0c-8891772ac056	bf1e8db80d880b2c441da42ff96b339b40a76103ef6b56e6cd685f07bd2dbfea	2026-08-14T01:32:11.103000+00:00	2026-08-14T01:32:11.279000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	73042291-a99e-4564-8ed4-025e84851609	7cf11d99a6be97b0a918cc8cb18a7c95a7c66a06926b8639a9f5fb87bf408de5	2026-08-01T13:54:22.380000+00:00	2026-08-01T13:54:34.514000+00:00	1	0	2	15273	13718	748	not_recorded	0
Claude Code	7893acbe-6592-4e88-abf8-06285182115a	9f77a46d0feb274fa2d10c57451617b5c161d492caf833ac7cee3abb463209a1	2026-08-14T08:18:34.453000+00:00	2026-08-14T08:18:34.634000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	803d0417-d729-4a1f-8e9e-7254cb06e746	e2c4aeeb1add8135393a664bdea6567fb8cfff201f346b1e43fdc9853ea78cc0	2026-08-14T02:17:03.118000+00:00	2026-08-14T02:17:03.293000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	8072affe-96b7-4b9b-adde-6f92f941e709	4d9a017a0025198d9423d32143c2fc855d406948b8c25896f6704b0f0e242d6a	2026-08-13T12:23:20.622000+00:00	2026-08-13T12:23:20.800000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	8cfe5bf5-baaf-47f7-bc9a-f9a70ac4c2be	36b45c5c8d593c324d0fb3e9555baebfd0de85d6ab1dac4ae48685827abeb2ca	2026-08-14T11:01:12.885000+00:00	2026-08-14T11:01:13.122000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	90491e21-4efb-4f14-b358-7a2944f7d175	5b8cf21e4ae48e62000147c42a96221a05a964792a18cbd9a96f64e1b823189c	2026-07-17T02:18:30.532000+00:00	2026-07-17T02:18:33.322000+00:00	1	0	2	15094	11997	4	not_recorded	0
Claude Code	91a08a1a-1024-4e64-a37d-7b116fc46115	d3058a07ae755ad2b7d9e744ebd62fd0d8949ece58644b592921b5c820977206	2026-08-19T22:40:57.099000+00:00	2026-08-19T22:40:57.353000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	932a0e57-4641-41a0-8866-be86ad6d2e7f	0372725ba97382f14efafeee85d9ae676fb830502c6df9f58b2abed6902a91f4	2026-08-21T03:23:59.229000+00:00	2026-08-21T03:23:59.633000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	935e3331-596e-4a42-afde-0a7d233845e1	940891be9da676fcdeb47c7c55c2c46a554a415f7ad817b39a034deb95dc0b50	2026-08-14T07:36:21.826000+00:00	2026-08-14T07:36:22.088000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	945c677f-5bab-4858-b50a-9b25b45cde4b	6d1e6a93a5f0c78f9c56c7f92beacb85f9d17d3f37193d9a1d552bb1251ea9ed	2026-08-14T11:01:13.114000+00:00	2026-08-14T11:01:13.374000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	a8c0bd22-76d5-4cb6-8b5e-1a46ddb9d41f	611f6d0b75fbc7f7136aa82b8304eefcffc8580ebd2a2d969c99eed39ccefa3f	2026-08-01T19:55:00.669000+00:00	2026-08-01T19:57:57.560000+00:00	9	15	17	398812	60744	10662	not_recorded	0
Claude Code	b077a8fd-4512-4454-a060-e59e3fafb66c	1549c0324334b55f9afd80af8ccb8edf7968a84c6661a6e818e502274e86e3e0	2026-08-01T12:55:33.219000+00:00	2026-08-01T12:55:54.608000+00:00	1	1	2	21950	15842	1614	not_recorded	0
Claude Code	b12bcbc3-4319-470a-9aca-bc419d3bdad3	042b2eba1813ab6dcf9ba7183453e0700a529b3a830246eab09f1d41ddf65cd9	2026-08-14T07:36:22.787000+00:00	2026-08-14T07:36:23.022000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	bd0e6e6f-f2ab-403a-b6b7-e42d4e327794	f7001354430e483e69c4090cf649b1511eb617b521fcd991486127bd630693ca	2026-08-14T11:01:12.754000+00:00	2026-08-14T11:01:12.986000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	c08675a1-d2f1-4590-984b-db7a80bcac87	07d23193b11e2314c58cc0bd6f770b7f2a88e7810603c85479e5ac4747a8580c	2026-07-16T22:42:26.169000+00:00	2026-07-16T22:42:26.170000+00:00	0	0	0	0	0	0	not_recorded	0
Claude Code	c297f7af-4e65-45b8-8d2b-3f037023c5b5	febd902317b39e155f0da4ab2903c7569aaedb5c471fe71cd6f937f9d486637a	2026-08-14T17:35:01.385000+00:00	2026-08-14T17:35:01.594000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	d742714d-a45b-4d7d-9b1d-f6358dd35f89	377aa94db872a7f6fe8deaf4ac12e759eba0fbec18f3cf1f05165b4f303a22d0	2026-08-21T20:43:36.182000+00:00	2026-08-21T20:43:36.364000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	d8e745e6-bd18-4b22-8269-f970ec639c72	fbfa9853255af52931df4e1d1cda25c2e03e3ff61f7d531c60c70648d1e9cf3c	2026-08-25T13:48:34.591000+00:00	2026-08-25T13:48:34.840000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	dbbb1f61-b39b-46f3-959e-dc6ea15de50f	c558d82589b897a51d1afb0f2fbead9885694669eb722ba3fa7bc61b3ef58ce6	2026-08-20T11:17:42.223000+00:00	2026-08-20T11:17:42.402000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	de4b9d2f-530f-46fe-a8be-90735ffd122a	fb01c234d6905c45cac4b98884f9473cbc3c54aa9e008693957b6b729505dd11	2026-07-16T22:42:21.805000+00:00	2026-07-16T22:42:36.319000+00:00	2	3	4	56101	14733	821	not_recorded	0
Claude Code	deed54c7-e8ee-4849-8de6-163112608217	a513cbd28e60e5d6e24fbb5979c99351d68dad4675c4279b3666e8fd9648c157	2026-08-14T06:26:10.298000+00:00	2026-08-14T06:26:10.483000+00:00	0	0	0	0	0	0	not_recorded	1
Claude Code	eaf03d36-e1e8-4b0c-80ef-e831009199fe	b39605042680d0c7ec770195a3e62076a97ff4d8889e0409bc9c0bb87b8a23d5	2026-08-01T08:58:07.134000+00:00	2026-08-01T08:58:07.135000+00:00	0	0	0	0	0	0	not_recorded	0
Claude Code	ffc65690-6907-4e89-a067-b6e332b6ced7	d9104016b9a5f420c9c2680d9570d77be91a4f3905c9f13facdc2c5acb8d126b	2026-08-13T19:39:27.262000+00:00	2026-08-13T19:39:27.386000+00:00	0	0	0	0	0	0	not_recorded	1
Codex	019f515d-dd8a-7290-ae37-e2aa29b89d41	not_computed_large_mutable_rollout	2026-07-11T13:28:53.922Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	019f6ac0-e9db-71e2-8f59-fff255ded687	not_computed_large_mutable_rollout	2026-07-16T11:47:35.526Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a00029-5fb6-76e1-9a09-26a871686b21	not_computed_large_mutable_rollout	2026-08-14T12:05:06.621Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a0005b-9ca9-7393-937d-05db386af913	not_computed_large_mutable_rollout	2026-08-14T12:59:59.024Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a0005b-e4ad-7de1-9bc2-13aac8c20bdc	not_computed_large_mutable_rollout	2026-08-14T13:00:17.460Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a00062-0904-7d92-85bd-9d60cbccbf8f	not_computed_large_mutable_rollout	2026-08-14T13:06:59.980Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a00136-d5ea-75f3-9076-955c57e29fc8	not_computed_large_mutable_rollout	2026-08-14T16:59:26.065Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a00137-207a-7402-8029-3280c515ee78	not_computed_large_mutable_rollout	2026-08-14T16:59:45.153Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a00137-6ad5-7f91-9676-ca8f62eea52f	not_computed_large_mutable_rollout	2026-08-14T17:00:04.189Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a02041-5e50-71c0-aa8a-f1f1b60e9895	not_computed_large_mutable_rollout	2026-08-20T17:39:10.041Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a025ee-9f7a-7ac0-acd9-706f8f3a0b6a	not_computed_large_mutable_rollout	2026-08-21T20:06:30.529Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a02626-909c-7b30-9c26-d7b838df4d9d	not_computed_large_mutable_rollout	2026-08-21T21:07:36.740Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
Codex	01a026d4-c7fe-7321-a4c2-09a07a11b9db	not_computed_large_mutable_rollout	2026-08-22T00:17:54.182Z	reported_in_platform_aggregate	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_recorded	not_identifiable_from_forked_rollouts	not_identifiable_from_forked_rollouts	not_uniformly_recorded
